[24-Jan-2024 22:09:46 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-includes\html-api\class-wp-html-attribute-token.php on line 91
[24-Jan-2024 22:09:47 UTC] PHP Fatal error:  Uncaught Error: Call to a member function set() on null in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php:806
Stack trace:
#0 C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php(900): load_textdomain('default', 'C:\\MAMP\\htdocs\\...', 'fr_FR')
#1 C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-fatal-error-handler.php(47): load_default_textdomain()
#2 [internal function]: WP_Fatal_Error_Handler->handle()
#3 {main}
  thrown in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php on line 806
[24-Jan-2024 22:13:50 UTC] PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\MAMP\htdocs\motaphoto1\wp-includes\Requests\src\Autoload.php on line 149
[24-Jan-2024 22:13:52 UTC] PHP Fatal error:  Uncaught Error: Call to a member function set() on null in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php:806
Stack trace:
#0 C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php(900): load_textdomain('default', 'C:\\MAMP\\htdocs\\...', 'fr_FR')
#1 C:\MAMP\htdocs\motaphoto1\wp-includes\class-wp-fatal-error-handler.php(47): load_default_textdomain()
#2 [internal function]: WP_Fatal_Error_Handler->handle()
#3 {main}
  thrown in C:\MAMP\htdocs\motaphoto1\wp-includes\l10n.php on line 806
[26-Jan-2024 13:43:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\MAMP\htdocs\motaphoto1\wp-content\themes\motaphoto1\functions.php on line 48
[26-Jan-2024 13:43:56 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\MAMP\htdocs\motaphoto1\wp-content\themes\motaphoto1\functions.php on line 48
